epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,2407.17,2.16554,1.20745,0.86044,0.60631,0.63851,0.60923,0.21243,2.24138,1.24521,0.84616,0.0007724,0.0007724,0.0007724
95,2432.27,2.1467,1.22254,0.85567,0.59909,0.64325,0.61277,0.21321,2.21935,1.24561,0.84491,0.0007592,0.0007592,0.0007592
96,2457.44,2.12606,1.19925,0.85433,0.59087,0.60055,0.56902,0.20448,2.14196,1.24353,0.8357,0.000746,0.000746,0.000746
97,2482.97,2.14037,1.21591,0.85497,0.60726,0.61764,0.59452,0.20826,2.12794,1.22853,0.83463,0.0007328,0.0007328,0.0007328
98,2508.37,2.09836,1.18145,0.84597,0.60923,0.62948,0.5928,0.21129,2.15469,1.21982,0.8389,0.0007196,0.0007196,0.0007196
99,2534.2,2.21831,1.19944,0.86161,0.6176,0.62948,0.59583,0.21698,2.12275,1.2119,0.83647,0.0007064,0.0007064,0.0007064
100,2559.81,2.16246,1.19489,0.84986,0.58649,0.60055,0.5667,0.19236,2.27067,1.22104,0.83965,0.0006932,0.0006932,0.0006932
101,2585.17,2.12353,1.17774,0.84822,0.5798,0.60627,0.56165,0.19305,2.22065,1.22132,0.83773,0.00068,0.00068,0.00068
102,2611.08,2.10227,1.17756,0.84066,0.60951,0.60198,0.57847,0.20489,2.17979,1.23072,0.83479,0.0006668,0.0006668,0.0006668
103,2636.84,2.09679,1.21023,0.8536,0.60756,0.60193,0.57605,0.20335,2.19609,1.22468,0.83526,0.0006536,0.0006536,0.0006536
104,2662.27,2.1071,1.19451,0.85224,0.61164,0.62121,0.58822,0.21103,2.15684,1.21561,0.83427,0.0006404,0.0006404,0.0006404
105,2688.14,2.10838,1.18893,0.84802,0.63518,0.62832,0.61601,0.22415,2.14371,1.22366,0.83953,0.0006272,0.0006272,0.0006272
106,2713.99,2.11843,1.16526,0.85022,0.6099,0.62121,0.60745,0.21925,2.12285,1.22191,0.83615,0.000614,0.000614,0.000614
107,2739.23,2.14106,1.20665,0.85042,0.596,0.60468,0.58221,0.20943,2.14176,1.23428,0.83588,0.0006008,0.0006008,0.0006008
108,2764.85,2.15702,1.20989,0.84173,0.60908,0.5978,0.60176,0.21708,2.18129,1.23802,0.84181,0.0005876,0.0005876,0.0005876
109,2790.21,2.06567,1.19571,0.84649,0.61178,0.59642,0.59288,0.21957,2.17025,1.23608,0.84098,0.0005744,0.0005744,0.0005744
110,2816.03,2.12194,1.17926,0.84942,0.5782,0.58722,0.56644,0.21119,2.14747,1.22708,0.83469,0.0005612,0.0005612,0.0005612
111,2841.82,2.13613,1.19821,0.8411,0.60658,0.61588,0.58772,0.21114,2.14467,1.22422,0.83428,0.000548,0.000548,0.000548
112,2867.6,2.14117,1.17134,0.84356,0.59938,0.61708,0.58871,0.21597,2.15424,1.23247,0.83873,0.0005348,0.0005348,0.0005348
113,2892.98,2.06963,1.16907,0.84789,0.62587,0.61062,0.5926,0.21672,2.15902,1.22907,0.83839,0.0005216,0.0005216,0.0005216
114,2918.64,2.06656,1.21471,0.85062,0.61921,0.61596,0.5954,0.21724,2.18185,1.23615,0.84055,0.0005084,0.0005084,0.0005084
115,2944.01,2.09391,1.17438,0.83964,0.59205,0.63369,0.58833,0.21633,2.15885,1.23275,0.83783,0.0004952,0.0004952,0.0004952
116,2969.81,2.09811,1.15123,0.84291,0.59212,0.64325,0.5878,0.21577,2.13133,1.22632,0.83396,0.000482,0.000482,0.000482
117,2995.36,2.02586,1.18056,0.84509,0.59715,0.60744,0.57814,0.21273,2.12283,1.22685,0.83265,0.0004688,0.0004688,0.0004688
118,3021.08,2.03538,1.19318,0.84825,0.63175,0.61846,0.6043,0.21804,2.12741,1.23104,0.8363,0.0004556,0.0004556,0.0004556
119,3046.41,2.00612,1.15014,0.84482,0.61749,0.61433,0.59851,0.21972,2.12192,1.23133,0.83672,0.0004424,0.0004424,0.0004424
120,3071.87,2.08419,1.15519,0.83955,0.61924,0.63636,0.60877,0.21831,2.11064,1.22689,0.83371,0.0004292,0.0004292,0.0004292
121,3097.73,2.10187,1.1615,0.84634,0.61732,0.62215,0.59127,0.21095,2.15017,1.22999,0.83421,0.000416,0.000416,0.000416
122,3123.46,2.08001,1.15755,0.85155,0.65686,0.61963,0.61416,0.22029,2.11979,1.21854,0.83542,0.0004028,0.0004028,0.0004028
123,3149.21,2.05324,1.16957,0.84738,0.64303,0.62259,0.60768,0.21711,2.14062,1.22026,0.83656,0.0003896,0.0003896,0.0003896
124,3174.91,2.08584,1.15016,0.83927,0.63087,0.63361,0.60429,0.21525,2.12768,1.21473,0.83545,0.0003764,0.0003764,0.0003764
125,3200.38,2.0561,1.15422,0.84123,0.62216,0.6405,0.5963,0.21377,2.12165,1.21403,0.83408,0.0003632,0.0003632,0.0003632
126,3226.17,2.0752,1.12471,0.83817,0.58942,0.62534,0.5675,0.20993,2.14198,1.22846,0.83437,0.00035,0.00035,0.00035
